name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New York City,2018-03-01T00:00:00,12.9,12.9,2.3,48.69,0,0,,0,0,,9.6,228,1011.5,100,16,0,,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2018-03-01T01:00:00,12.7,12.7,2.5,49.82,0,0,,0,0,,14.4,248,1011.5,95.7,16,0,,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2018-03-01T02:00:00,12,12,2.3,51.52,0,0,,0,0,,8.5,235,1011.4,98.2,16,0,,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2018-03-01T03:00:00,11.5,11.5,2.3,53.08,0,0,,0,0,,5.4,219,1010.7,25.4,16,0,,0,,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2018-03-01T04:00:00,11.2,11.2,2.3,54.41,0,0,,0,0,,8,239,1010.2,14.1,16,0,,0,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2018-03-01T05:00:00,10.4,10.4,2.5,58.03,0,0,,0,0,,7.8,248,1010.1,27.9,16,0,,0,,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2018-03-01T06:00:00,10.4,10.4,2.9,59.35,0,0,,0,0,,1.2,0,1010.7,34.2,16,13.4,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2018-03-01T07:00:00,10.3,10.3,2.9,59.93,0,0,,0,0,,1.7,347,1011,35.9,16,25,0.1,0,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
New York City,2018-03-01T08:00:00,11.5,11.5,3,55.77,0,0,,0,0,,1.2,5,1011,34.2,16,103,0.4,1,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
New York City,2018-03-01T09:00:00,12.8,12.8,3.4,52.51,0,0,,0,0,,1.2,17,1010.4,35.9,16,173,0.6,2,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
New York City,2018-03-01T10:00:00,13.7,13.7,4.6,54.16,0,0,,0,0,,8,48,1010.5,35.9,16,292,1.1,3,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
New York City,2018-03-01T11:00:00,14.7,14.7,4.8,51.51,0,0,,0,0,,13,47,1010.9,38.4,16,368,1.3,4,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
New York City,2018-03-01T12:00:00,14.8,14.8,4.8,51.2,0,0,,0,0,,10.8,39,1010.2,38.4,16,280,1,3,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
