name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"New York City,2018-05-01T00:00:00,9.4,8.6,3.4,65.86,0,0,,0,0,,6.8,289,1017.5,82.6,16,0,,0,,Partially cloudy,partly-cloudy-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-01T01:00:00,9.1,8,2.9,64.97,0,0,,0,0,,7.6,266,1017.3,25.4,16,0,,0,,Partially cloudy,partly-cloudy-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-01T02:00:00,9.9,8.8,2.1,58.32,0,0,,0,0,,8.3,257,1017,82.6,16,0,,0,,Partially cloudy,partly-cloudy-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-01T03:00:00,9.6,8.4,2,59.3,0,0,,0,0,,8.5,254,1016.7,98.2,16,0,,0,,Overcast,cloudy,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-01T04:00:00,10,10,2.2,58.21,0,0,,0,0,,4,297,1017.1,95.7,16,0,,0,,Overcast,cloudy,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-01T05:00:00,9.9,9.1,3.1,62.56,0,0,,0,0,,7.3,236,1016.9,95.7,16,0,,0,,Overcast,cloudy,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-01T06:00:00,9.6,9.6,2.3,60.26,0,0,,0,0,,0,0,1017.7,19.2,16,9,0,0,,Clear,clear-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-01T07:00:00,9.6,9.1,1.4,56.6,0,0,,0,0,,5.7,239,1018.3,10.5,16,47,0.2,0,,Clear,clear-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-01T08:00:00,11.7,11.7,0.9,47.29,0,0,,0,0,,10.3,275,1018.3,10.5,16,186,0.7,2,,Clear,clear-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-01T09:00:00,14.1,14.1,0.3,38.77,0,0,,0,0,27.7,10.4,300,1018.4,10.5,16,518,1.9,5,,Clear,clear-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-01T10:00:00,16.4,16.4,-2.2,27.97,0,0,,0,0,,15.3,302,1018.5,4.4,16,703,2.5,7,,Clear,clear-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-01T11:00:00,19.3,19.3,-3.4,21.2,0,0,,0,0,29.5,11.6,314,1018.1,0,16,858,3.1,9,,Clear,clear-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-01T12:00:00,21.2,21.2,-5.4,16.36,0,0,,0,0,32.7,20.1,295,1017.5,0,16,940,3.4,9,,Clear,clear-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-01T13:00:00,22.6,22.6,-3.7,17.02,0,0,,0,0,27.6,15.2,303,1017.3,0,16,961,3.5,10,,Clear,clear-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-01T14:00:00,24.3,24.3,-4.3,14.64,0,0,,0,0,35.3,13.2,309,1017,10.5,16,924,3.3,9,,Clear,clear-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-01T15:00:00,25.4,25.4,-4.6,13.39,0,0,,0,0,,16.9,289,1016.3,10.5,16,828,3,8,,Clear,clear-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-01T16:00:00,26,26,-4.3,13.22,0,0,,0,0,35.3,16.1,303,1016.1,4.4,16,691,2.5,7,,Clear,clear-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-01T17:00:00,26.7,26.7,-4,13.05,0,0,,0,0,,10.5,273,1015.9,10.5,16,523,1.9,5,,Clear,clear-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-01T18:00:00,26.8,25.8,-3.5,13.41,0,0,,0,0,,7.6,327,1015.9,25.4,16,307,1.1,3,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-01T19:00:00,25.9,25.9,-2.1,15.75,0,0,,0,0,,14,248,1016,34.2,16,105,0.4,1,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-01T20:00:00,24.2,24.2,-1.3,18.35,0,0,,0,0,,6.9,160,1016.5,34.2,16,17,0.1,0,,Partially cloudy,partly-cloudy-night,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-01T21:00:00,23.1,23.1,0.3,22.14,0,0,,0,0,,6.9,276,1017,20.3,16,0,,0,,Partially cloudy,partly-cloudy-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-01T22:00:00,23,23,1.3,23.97,0,0,,0,0,,15.2,212,1017.3,14.1,16,0,,0,,Clear,clear-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-01T23:00:00,22.3,22.3,1.7,25.75,0,0,,0,0,,15,238,1017.5,14.1,16,0,,0,,Clear,clear-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-02T00:00:00,21.5,21.5,1.8,27.08,0,0,,0,0,,10.6,246,1017.9,14.1,16,0,,0,,Clear,clear-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-02T01:00:00,20.7,20.7,1.9,28.72,0,0,,0,0,,11.2,218,1017.9,10.5,16,0,,0,,Clear,clear-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-02T02:00:00,20.4,20.4,1.5,28.55,0,0,,0,0,31.7,13.1,218,1017.7,10.5,16,0,,0,,Clear,clear-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-02T03:00:00,20.2,20.2,1.2,28.19,0,0,,0,0,,12.7,232,1017.7,10.5,16,0,,0,,Clear,clear-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-02T04:00:00,19.4,19.4,1.3,29.93,0,0,,0,0,,10.3,236,1017.9,10.5,16,0,,0,,Clear,clear-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-02T05:00:00,18.3,18.3,1.3,31.92,0,0,,0,0,,10,220,1018.1,14.1,16,0,,0,,Clear,clear-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
