name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York City,2017-03-01,21,11.9,16,21,11.9,16,11.9,78.2,3.2,100,12.5,rain,0,0,51.8,22.7,201,1004.2,65.7,14.2,86.5,7.4,3,,2017-03-01T06:29:31,2017-03-01T17:47:38,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-02,18,3.1,9,18,-0.6,6.1,-5.7,35.6,0,0,0,,0,0,77.2,47.2,284.3,1006.6,19,16,209.3,18,7,,2017-03-02T06:27:58,2017-03-02T17:48:46,0.09,Clear,Clear conditions throughout the day.,wind,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-03,4.1,-3.4,0.8,0.3,-10.7,-4,-12.7,36.6,0,0,0,,0,0,50.7,28.8,299.9,1023.5,28.4,16,154.3,13.2,5,,2017-03-03T06:26:25,2017-03-03T17:49:54,0.14,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-04,-1.1,-7.5,-4.2,-7.4,-14.6,-10.7,-17.5,35.5,0,0,0,,0,0,54.5,28.5,308.6,1032.8,34,16,141.2,12.2,5,,2017-03-04T06:24:52,2017-03-04T17:51:01,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-05,2.5,-9.5,-3.7,-0.5,-17.5,-8.7,-21.4,25.7,0,0,0,,0,0,43.7,27.3,232.3,1035.8,5.1,16,225.7,19.4,8,,2017-03-05T06:23:17,2017-03-05T17:52:08,0.25,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-06,6.5,-3.3,1.9,4.5,-6.4,-0.1,-12.2,35.5,0,0,0,,0,0,,18.1,100.8,1032.4,42.8,16,205.7,17.8,7,,2017-03-06T06:21:42,2017-03-06T17:53:15,0.31,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-07,11.6,5.8,8.7,11.6,3.4,7.8,5,77.8,2.29,100,20.83,rain,0,0,31.7,12.6,135.9,1024.1,74.2,14.1,87.1,7.4,4,,2017-03-07T06:20:07,2017-03-07T17:54:22,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-08,15,8.8,12.9,15,6,12.4,0.1,47.4,0.73,100,12.5,rain,0,0,49.6,29.4,239.3,1013.8,51.7,15.9,210.3,18.2,8,,2017-03-08T06:18:31,2017-03-08T17:55:28,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-09,16.5,9.6,13,16.5,7.4,12.8,-8.4,22.5,0,0,0,,0,0,63,31.4,278.1,1014,27.7,16,223.1,19.2,8,,2017-03-09T06:16:55,2017-03-09T17:56:34,0.45,Partially cloudy,Partly cloudy throughout the day.,wind,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-10,9,-2.9,2.4,7.4,-10.6,-1.9,-5.7,59,6.91,100,29.17,"rain,snow",2,0.7,55.9,33.1,203.7,1011.8,63.8,11.5,88.2,7.5,4,,2017-03-10T06:15:18,2017-03-10T17:57:40,0.48,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
