name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York City,2018-03-01,14.8,6.8,12.2,14.8,4.6,12,3.8,57.5,6.05,100,12.5,rain,0,0,35.3,16.9,118.1,1008.3,58.6,15,91.1,7.8,4,,2018-03-01T06:29:53,2018-03-01T17:47:21,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York City,2018-03-02,6.8,1.5,3.3,3.7,-4.9,-1.6,1.4,87.2,45.12,100,87.5,"rain,snow",0,0,64.3,34.5,243.9,996.2,100,7.8,14.5,1.2,1,,2018-03-02T06:28:21,2018-03-02T17:48:30,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York City,2018-03-03,8.9,2.5,5.2,5.9,-2.8,0.8,-2.1,59.5,0,0,0,,0,0,60.6,43.6,216.4,1014.3,78,16,168.1,14.5,8,,2018-03-03T06:26:48,2018-03-03T17:49:37,0.52,Partially cloudy,Partly cloudy throughout the day.,wind,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York City,2018-03-04,6.3,1.3,4.5,2.6,-4.2,0.3,-4.5,52.8,0,0,0,,0,0,57.1,34.8,195.8,1019.1,85.2,16,104,9,5,,2018-03-04T06:25:15,2018-03-04T17:50:45,0.54,Partially cloudy,Partly cloudy throughout the day.,wind,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York City,2018-03-05,5.7,0.9,3.2,2.5,-4.9,-1,-5.3,53.9,0,0,0,,0,0,47.3,31.1,218.2,1017.4,68.3,16,131.5,11.3,6,,2018-03-05T06:23:41,2018-03-05T17:51:52,0.57,Partially cloudy,Partly cloudy throughout the day.,wind,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York City,2018-03-06,7.4,0.2,4,6.8,-1.9,1.7,-3.7,58.2,0,0,0,,0,0,29.5,24.4,133.3,1016.4,36.4,16,218.2,18.8,8,,2018-03-06T06:22:06,2018-03-06T17:52:59,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York City,2018-03-07,3.9,0.7,1.6,0,-5.6,-3.3,0,89.7,28.46,100,87.5,"rain,snow",5.3,1.7,56.2,30.6,127.6,1006.6,92.7,7.3,17.1,1.1,1,,2018-03-07T06:20:31,2018-03-07T17:54:06,0.66,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York City,2018-03-08,4,0.7,2.5,0.6,-3.6,-1.1,-3.1,67.5,0.23,100,4.17,"rain,snow",3.3,7.2,40.7,19.4,287.8,1005.6,76.3,16,110.5,9.5,5,,2018-03-08T06:18:55,2018-03-08T17:55:12,0.71,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York City,2018-03-09,6,-1,2.2,2.8,-6.6,-2.3,-5.9,56.2,0,0,0,,2.3,5.6,54.4,33.9,265.8,1007.1,71.4,16,147.6,12.8,5,,2018-03-09T06:17:19,2018-03-09T17:56:19,0.76,Partially cloudy,Partly cloudy throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York City,2018-03-10,4.2,-0.4,2.4,0.3,-4.9,-1.8,-7,50.5,0,0,0,,3.4,4.7,43.7,24.2,278,1013.5,64,16,150.1,12.9,6,,2018-03-10T06:15:42,2018-03-10T17:57:24,0.8,Partially cloudy,Partly cloudy throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
