,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,Taxi Drives
0,New York City,2015-03-01,-1.2,-4.5,-2.9,-2.2,-7.6,-3.9,-11.4,56.4,12.27,100,33.33,snow,5.1,14.7,31.3,15.1,200.9,1033.4,77.6,10.2,50.2,4.2,2,,2015-03-01T06:30:19,2015-03-01T17:47:04,0.42,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.7547929819884628
1,New York City,2015-03-02,3.4,-2.1,0.5,-0.5,-7.6,-3.4,-8.0,56.3,0.0,0,0.0,,3.2,20.7,51.0,28.0,305.7,1020.9,52.1,14.0,164.2,14.2,7,,2015-03-02T06:28:47,2015-03-02T17:48:12,0.45,Partially cloudy,Clearing in the afternoon.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.7610359623108239
2,New York City,2015-03-03,2.0,-5.0,-1.8,-1.5,-8.3,-5.2,-8.8,60.6,15.17,100,33.33,"rain,snow",0.1,21.3,47.9,18.9,219.8,1025.3,56.3,12.1,78.1,6.9,3,,2015-03-03T06:27:14,2015-03-03T17:49:20,0.48,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.7789161715731723
3,New York City,2015-03-04,7.2,2.0,4.5,5.8,-2.7,1.8,1.7,82.6,4.78,100,37.5,rain,3.7,23.1,35.1,20.1,237.8,1010.4,99.2,9.2,69.8,6.0,2,,2015-03-04T06:25:41,2015-03-04T17:50:28,0.49,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8535790800375559
4,New York City,2015-03-05,4.6,-6.4,-2.6,1.7,-12.9,-7.1,-5.4,82.0,19.4,100,75.0,"rain,snow",8.4,26.1,36.5,20.1,292.1,1019.7,90.1,4.5,80.5,7.0,3,,2015-03-05T06:24:07,2015-03-05T17:51:35,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.7178427709816082
5,New York City,2015-03-06,-3.1,-10.4,-6.7,-3.5,-17.6,-11.3,-15.8,49.0,0.0,0,0.0,,5.0,35.4,48.0,26.7,215.3,1031.2,11.2,15.4,226.2,19.5,8,,2015-03-06T06:22:32,2015-03-06T17:52:42,0.5,Clear,Clear conditions throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8752658411950456
6,New York City,2015-03-07,3.3,-8.0,-2.0,1.9,-13.4,-5.9,-11.7,47.8,0.0,0,0.0,,0.0,34.1,39.2,22.0,250.1,1022.4,41.7,15.7,199.2,17.2,8,,2015-03-07T06:20:57,2015-03-07T17:53:49,0.52,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.9879668269390971
7,New York City,2015-03-08,9.0,2.5,5.4,7.1,-0.3,3.5,-5.3,46.7,0.0,0,0.0,,0.0,29.2,45.7,28.8,255.3,1018.0,65.1,15.8,190.3,15.7,7,,2015-03-08T07:19:22,2015-03-08T18:54:55,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8070811273822801
8,New York City,2015-03-09,12.1,4.1,7.9,12.1,2.1,6.9,-4.3,42.9,0.37,100,8.33,rain,0.0,22.7,42.9,18.1,262.6,1021.2,31.6,15.8,213.9,18.4,8,,2015-03-09T07:17:46,2015-03-09T18:56:02,0.56,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.7677826933216771
9,New York City,2015-03-10,10.9,3.6,6.9,10.9,2.1,6.2,0.0,62.8,9.21,100,29.17,rain,2.3,17.5,29.5,12.3,80.8,1023.1,58.0,12.1,77.9,6.8,4,,2015-03-10T07:16:09,2015-03-10T18:57:08,0.6,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8108308358145179
10,New York City,2015-03-11,15.1,5.8,10.0,15.1,4.7,9.3,3.1,66.6,1.72,100,12.5,rain,2.4,11.5,40.7,20.6,265.6,1014.8,49.8,12.8,169.0,14.6,7,,2015-03-11T07:14:32,2015-03-11T18:58:13,0.64,"Rain, Partially cloudy",Clearing in the afternoon with early morning snow or rain.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8389017058919229
11,New York City,2015-03-12,9.2,3.9,6.5,6.5,0.5,3.1,-13.2,25.0,0.0,0,0.0,,2.5,8.4,55.0,27.5,321.6,1027.8,3.9,16.0,234.0,20.1,8,,2015-03-12T07:12:55,2015-03-12T18:59:19,0.69,Clear,Clear conditions throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.904279528708889
12,New York City,2015-03-13,5.3,-0.4,2.9,2.9,-3.7,-0.1,-12.5,33.3,0.0,0,0.0,,0.0,4.9,31.0,16.9,153.2,1034.8,26.2,16.0,165.7,14.3,7,,2015-03-13T07:11:17,2015-03-13T19:00:24,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.9342066318680134
13,New York City,2015-03-14,10.1,4.3,7.1,10.1,2.6,5.4,4.4,84.2,21.34,100,79.17,rain,0.4,2.7,31.7,15.8,201.0,1016.3,98.7,9.7,46.0,3.8,2,,2015-03-14T07:09:39,2015-03-14T19:01:29,0.8,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.9728445056872864
14,New York City,2015-03-15,7.5,3.0,5.5,5.2,-1.9,1.6,-1.5,61.5,0.06,100,4.17,rain,0.0,0.2,61.9,34.4,295.9,1008.8,91.4,15.8,152.8,13.3,6,,2015-03-15T07:08:01,2015-03-15T19:02:34,0.85,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8206451537027636
15,New York City,2015-03-16,10.8,1.7,5.6,10.8,-2.0,3.9,-3.7,51.9,0.0,0,0.0,,0.0,0.0,36.8,20.0,274.3,1013.9,37.7,16.0,174.3,15.0,7,,2015-03-16T07:06:22,2015-03-16T19:03:39,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.7341352835214722
16,New York City,2015-03-17,13.3,1.6,8.7,13.3,-4.5,6.9,-1.6,49.9,0.36,100,8.33,rain,0.0,0.0,67.7,37.9,284.4,1005.1,71.1,15.3,188.8,16.3,7,,2015-03-17T07:04:44,2015-03-17T19:04:43,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8097096475117264
17,New York City,2015-03-18,3.7,-1.2,0.9,-1.0,-7.8,-4.4,-12.5,36.7,0.0,0,0.0,,0.0,0.0,54.2,33.8,292.7,1017.0,46.9,16.0,216.4,18.6,8,,2015-03-18T07:03:05,2015-03-18T19:05:48,0.98,Partially cloudy,Partly cloudy throughout the day.,wind,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8872676523453809
18,New York City,2015-03-19,5.8,-1.7,1.6,3.5,-7.2,-2.0,-15.0,30.1,0.0,0,0.0,,0.0,0.0,37.1,23.8,303.9,1025.3,30.0,16.0,251.6,21.7,8,,2015-03-19T07:01:25,2015-03-19T19:06:52,1.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8852154073226141
19,New York City,2015-03-20,2.9,-1.5,0.7,1.0,-7.1,-3.2,-8.7,56.4,8.94,100,45.83,"rain,snow",6.8,2.3,35.4,24.1,68.0,1025.1,81.3,9.0,65.8,5.7,2,,2015-03-20T06:59:46,2015-03-20T19:07:56,0.0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8975680798474243
20,New York City,2015-03-21,8.5,-1.6,2.8,6.5,-6.7,0.4,-1.5,74.7,0.19,100,8.33,"rain,snow",4.1,7.9,35.3,16.8,179.1,1016.1,86.5,10.7,218.9,18.9,8,,2015-03-21T06:58:07,2015-03-21T19:09:00,0.01,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.917106550131034
21,New York City,2015-03-22,7.4,-1.0,3.1,3.7,-5.6,-1.0,-10.0,38.7,0.0,0,0.0,,0.0,0.7,46.6,27.0,312.3,1016.9,16.1,16.0,259.3,22.4,8,,2015-03-22T06:56:27,2015-03-22T19:10:04,0.03,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8406520925254767
22,New York City,2015-03-23,3.2,-4.9,-0.8,-0.6,-10.3,-5.3,-15.2,34.3,0.0,0,0.0,,0.0,0.0,47.9,24.1,321.0,1023.2,11.2,16.0,262.7,22.7,8,,2015-03-23T06:54:48,2015-03-23T19:11:07,0.07,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.7644054075774296
23,New York City,2015-03-24,6.8,-3.4,1.5,6.8,-7.4,-1.0,-13.0,33.9,0.0,0,0.0,,0.0,0.0,,17.7,139.7,1026.6,42.1,16.0,235.0,20.4,7,,2015-03-24T06:53:08,2015-03-24T19:12:11,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8070576059493544
24,New York City,2015-03-25,8.3,0.8,4.3,6.4,-1.1,2.8,-4.8,55.1,1.41,100,20.83,rain,0.0,0.0,31.4,20.5,136.5,1027.4,48.7,14.9,186.7,16.1,8,,2015-03-25T06:51:29,2015-03-25T19:13:14,0.16,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8364378357929565
25,New York City,2015-03-26,16.1,5.0,9.2,16.1,4.3,8.9,7.1,87.1,5.84,100,25.0,rain,0.0,0.0,,18.1,149.1,1011.0,99.1,6.8,111.8,9.7,5,,2015-03-26T06:49:50,2015-03-26T19:14:17,0.21,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8374335764534775
26,New York City,2015-03-27,7.5,4.0,6.0,7.4,0.8,4.0,0.9,71.1,7.26,100,33.33,rain,0.0,0.0,38.9,14.4,310.1,1006.9,99.7,15.1,177.1,15.1,6,,2015-03-27T06:48:10,2015-03-27T19:15:20,0.26,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.9118455896333204
27,New York City,2015-03-28,5.2,-1.5,2.2,2.9,-6.6,-2.0,-6.5,52.7,0.0,0,0.0,,0.0,0.0,42.5,23.8,307.5,1011.0,97.0,15.5,152.7,13.2,5,,2015-03-28T06:46:31,2015-03-28T19:16:24,0.31,Overcast,Cloudy skies throughout the day.,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",1.0
28,New York City,2015-03-29,7.9,-3.6,1.6,6.1,-9.8,-2.0,-14.1,33.0,0.0,0,0.0,,0.0,0.0,37.1,20.1,301.5,1022.3,43.0,15.6,279.1,24.1,9,,2015-03-29T06:44:52,2015-03-29T19:17:27,0.35,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8313454455645438
29,New York City,2015-03-30,11.8,2.2,6.6,11.8,-0.9,4.4,-5.0,45.1,0.0,0,0.0,,0.0,0.0,52.2,32.7,242.6,1012.3,69.6,15.7,187.3,16.1,8,,2015-03-30T06:43:13,2015-03-30T19:18:30,0.4,Partially cloudy,Partly cloudy throughout the day.,wind,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.7656971262689323
30,New York City,2015-03-31,7.7,2.1,4.9,6.6,-1.1,2.3,-1.7,64.9,3.98,100,29.17,rain,0.0,0.0,81.4,17.9,217.8,1009.9,69.9,14.9,109.0,9.4,5,,2015-03-31T06:41:34,2015-03-31T19:19:33,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8419281302616956
31,New York City,2015-04-01,10.3,0.4,5.1,10.3,-3.2,2.8,-7.0,45.6,0.0,0,0.0,,0.0,0.0,45.1,18.5,313.4,1016.8,20.3,16.0,271.2,23.4,9,,2015-04-01T06:39:56,2015-04-01T19:20:35,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8621879244883598
32,New York City,2015-04-02,18.6,5.1,11.6,18.6,3.7,11.2,-4.2,33.3,0.0,0,0.0,,0.0,0.0,49.7,27.0,193.0,1020.3,20.7,16.0,251.9,21.7,9,,2015-04-02T06:38:18,2015-04-02T19:21:38,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8702675366983357
33,New York City,2015-04-03,17.3,14.3,16.1,17.3,14.3,16.1,8.7,63.7,1.07,100,16.67,rain,0.0,0.0,38.8,27.8,236.2,1009.2,84.5,13.9,59.3,5.1,2,,2015-04-03T06:36:40,2015-04-03T19:22:41,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8698206294727475
34,New York City,2015-04-04,15.0,6.9,10.7,15.0,4.5,9.2,-0.6,50.9,0.18,100,4.17,rain,0.0,0.0,64.6,36.0,282.8,1009.0,50.9,14.3,282.9,24.3,9,,2015-04-04T06:35:02,2015-04-04T19:23:44,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8624094179817434
35,New York City,2015-04-05,16.0,5.5,10.2,16.0,2.9,9.3,-4.8,35.4,0.0,0,0.0,,0.0,0.0,62.8,41.7,240.6,1021.1,52.2,16.0,272.9,23.5,9,,2015-04-05T06:33:25,2015-04-05T19:24:47,0.51,Partially cloudy,Becoming cloudy in the afternoon.,wind,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.7395883357214121
