,name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations,Taxi drives per hour
10,New York City,2015-03-01T10:00:00,-1.4,-4.6,-15.2,34.37,0.0,,,0.34,13.63,,8.7,166.0,1036.5,97.5,16.0,,,,,Overcast,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",8586
11,New York City,2015-03-01T11:00:00,-1.2,-5.6,-16.0,31.54,0.0,,,0.34,13.97,,13.6,179.0,1036.1,99.1,16.0,,,,,Overcast,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",11259
12,New York City,2015-03-01T12:00:00,-1.2,-5.8,-14.2,36.77,0.0,,,0.34,14.32,31.3,14.5,206.0,1035.4,100.0,13.7,,,,,Overcast,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",13132
13,New York City,2015-03-01T13:00:00,-2.6,-7.6,-8.2,65.48,0.0,,,0.34,14.66,,15.1,193.0,1034.2,100.0,3.1,,,,,Overcast,snow,"72505394728,KEWR,KLGA,KNYC,72503014732",14891
14,New York City,2015-03-01T14:00:00,-3.5,-3.5,-6.1,82.41,1.25,,,0.34,15.0,,4.1,278.0,1032.9,74.6,0.4,,,,,"Snow, Partially cloudy",snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",13664
15,New York City,2015-03-01T15:00:00,-3.3,-3.3,-6.1,81.02,1.73,,,0.34,15.35,,2.6,308.0,1031.0,90.6,0.8,,,,,"Snow, Overcast",snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",10473
16,New York City,2015-03-01T16:00:00,-3.5,-3.5,-6.0,82.66,2.64,,,0.34,15.69,,3.2,34.0,1029.5,100.0,1.0,,,,,"Snow, Overcast",snow,"72505394728,KEWR,KLGA,KNYC,72503014732",7960
34,New York City,2015-03-02T10:00:00,1.6,-3.7,-5.6,58.85,0.0,,,0.01,21.2,41.3,23.5,300.0,1020.1,50.8,14.8,,,,,Partially cloudy,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",11627
35,New York City,2015-03-02T11:00:00,1.2,-4.6,-7.3,53.05,0.0,,,0.01,21.21,50.7,28.0,315.0,1021.2,95.7,15.6,,,,,Overcast,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",11750
36,New York City,2015-03-02T12:00:00,2.1,-3.3,-10.0,40.43,0.0,,,0.01,21.22,51.0,26.4,292.0,1021.0,14.1,16.0,,,,,Clear,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",11683
37,New York City,2015-03-02T13:00:00,2.3,-2.9,-10.3,38.93,0.0,,,0.01,21.23,47.2,24.5,317.0,1020.7,14.1,16.0,,,,,Clear,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",10564
38,New York City,2015-03-02T14:00:00,3.2,-0.5,-10.6,35.49,0.0,,,0.01,21.24,36.7,15.6,312.0,1020.3,10.5,16.0,,,,,Clear,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",10941
39,New York City,2015-03-02T15:00:00,3.4,-1.4,-10.9,34.48,0.0,,,0.01,21.25,40.1,22.9,311.0,1020.7,10.5,16.0,,,,,Clear,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",12142
40,New York City,2015-03-02T16:00:00,3.4,-1.1,-10.9,34.48,0.0,,,0.01,21.26,42.0,20.4,305.0,1021.3,4.4,16.0,,,,,Clear,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",11162
58,New York City,2015-03-03T10:00:00,-1.6,-5.2,-11.9,45.39,0.0,,,0.0,21.37,,9.8,119.0,1029.9,38.4,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",12891
59,New York City,2015-03-03T11:00:00,-1.3,-5.1,-12.8,41.49,0.0,,,0.0,21.36,,10.9,149.0,1029.6,38.4,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",12056
60,New York City,2015-03-03T12:00:00,-1.3,-5.1,-12.2,43.19,0.0,,,0.0,21.35,,11.0,170.0,1029.0,55.1,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",13237
