,name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations,Taxi drives per hour
10,New York City,2015-03-01T10:00:00,-1.4,-4.6,-15.2,34.37,0.0,,,0.34,13.63,,8.7,166.0,1036.5,97.5,16.0,,,,,Overcast,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",288
11,New York City,2015-03-01T11:00:00,-1.2,-5.6,-16.0,31.54,0.0,,,0.34,13.97,,13.6,179.0,1036.1,99.1,16.0,,,,,Overcast,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",378
12,New York City,2015-03-01T12:00:00,-1.2,-5.8,-14.2,36.77,0.0,,,0.34,14.32,31.3,14.5,206.0,1035.4,100.0,13.7,,,,,Overcast,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",356
13,New York City,2015-03-01T13:00:00,-2.6,-7.6,-8.2,65.48,0.0,,,0.34,14.66,,15.1,193.0,1034.2,100.0,3.1,,,,,Overcast,snow,"72505394728,KEWR,KLGA,KNYC,72503014732",408
14,New York City,2015-03-01T14:00:00,-3.5,-3.5,-6.1,82.41,1.25,,,0.34,15.0,,4.1,278.0,1032.9,74.6,0.4,,,,,"Snow, Partially cloudy",snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",372
15,New York City,2015-03-01T15:00:00,-3.3,-3.3,-6.1,81.02,1.73,,,0.34,15.35,,2.6,308.0,1031.0,90.6,0.8,,,,,"Snow, Overcast",snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",227
34,New York City,2015-03-02T10:00:00,1.6,-3.7,-5.6,58.85,0.0,,,0.01,21.2,41.3,23.5,300.0,1020.1,50.8,14.8,,,,,Partially cloudy,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",278
35,New York City,2015-03-02T11:00:00,1.2,-4.6,-7.3,53.05,0.0,,,0.01,21.21,50.7,28.0,315.0,1021.2,95.7,15.6,,,,,Overcast,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",332
36,New York City,2015-03-02T12:00:00,2.1,-3.3,-10.0,40.43,0.0,,,0.01,21.22,51.0,26.4,292.0,1021.0,14.1,16.0,,,,,Clear,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",288
37,New York City,2015-03-02T13:00:00,2.3,-2.9,-10.3,38.93,0.0,,,0.01,21.23,47.2,24.5,317.0,1020.7,14.1,16.0,,,,,Clear,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",297
38,New York City,2015-03-02T14:00:00,3.2,-0.5,-10.6,35.49,0.0,,,0.01,21.24,36.7,15.6,312.0,1020.3,10.5,16.0,,,,,Clear,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",312
39,New York City,2015-03-02T15:00:00,3.4,-1.4,-10.9,34.48,0.0,,,0.01,21.25,40.1,22.9,311.0,1020.7,10.5,16.0,,,,,Clear,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",286
58,New York City,2015-03-03T10:00:00,-1.6,-5.2,-11.9,45.39,0.0,,,0.0,21.37,,9.8,119.0,1029.9,38.4,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",316
59,New York City,2015-03-03T11:00:00,-1.3,-5.1,-12.8,41.49,0.0,,,0.0,21.36,,10.9,149.0,1029.6,38.4,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",296
60,New York City,2015-03-03T12:00:00,-1.3,-5.1,-12.2,43.19,0.0,,,0.0,21.35,,11.0,170.0,1029.0,55.1,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",337
61,New York City,2015-03-03T13:00:00,-1.2,-4.5,-10.5,49.08,0.0,,,0.0,21.34,,9.1,156.0,1028.0,100.0,16.0,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",306
62,New York City,2015-03-03T14:00:00,-0.8,-5.2,-9.8,50.31,0.0,,,0.0,21.33,27.7,14.4,166.0,1026.3,100.0,16.0,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",409
63,New York City,2015-03-03T15:00:00,-0.7,-5.9,-8.1,57.13,0.0,,,0.0,21.31,30.6,18.9,158.0,1024.8,100.0,15.7,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",292
82,New York City,2015-03-04T10:00:00,4.9,1.9,2.0,81.54,0.26,,,0.0,24.77,,13.8,246.0,1011.1,100.0,7.5,,,,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",356
83,New York City,2015-03-04T11:00:00,5.3,2.9,1.8,78.35,0.0,,,0.0,24.7,,10.6,235.0,1011.8,100.0,8.2,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",334
84,New York City,2015-03-04T12:00:00,6.0,3.9,1.9,74.87,0.0,,,0.0,24.63,,9.8,228.0,1011.0,100.0,8.9,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",305
85,New York City,2015-03-04T13:00:00,6.5,5.8,2.9,77.25,0.0,,,0.0,24.56,,5.1,289.0,1010.5,99.1,7.1,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",274
86,New York City,2015-03-04T14:00:00,7.2,5.0,2.4,71.42,0.0,,,0.0,24.49,,11.6,258.0,1010.4,92.2,10.1,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",321
87,New York City,2015-03-04T15:00:00,7.0,4.8,2.6,73.61,0.05,,,0.0,24.41,,11.1,249.0,1009.9,90.6,10.2,,,,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",301
106,New York City,2015-03-05T10:00:00,-3.0,-8.8,-4.6,88.78,1.44,,,0.56,24.31,29.0,18.6,34.0,1020.4,90.6,0.2,,,,,"Snow, Overcast",snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",322
107,New York City,2015-03-05T11:00:00,-3.2,-7.3,-4.4,91.37,1.96,,,0.56,24.86,,10.5,358.0,1019.9,90.6,0.0,,,,,"Snow, Overcast",snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",292
108,New York City,2015-03-05T12:00:00,-4.4,-10.6,-5.8,90.11,1.24,,,0.56,25.42,29.5,18.7,305.0,1021.3,100.0,0.2,,,,,"Snow, Overcast",snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",346
109,New York City,2015-03-05T13:00:00,-6.1,-12.6,-7.7,88.85,1.72,,,0.56,25.98,32.0,18.1,313.0,1021.8,65.2,0.2,,,,,"Snow, Partially cloudy",snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",287
110,New York City,2015-03-05T14:00:00,-6.1,-11.9,-7.9,87.11,0.89,,,0.56,26.53,,15.0,307.0,1020.4,62.2,0.9,,,,,"Snow, Partially cloudy",snow,"72505394728,KEWR,KLGA,KNYC,72503014732",304
111,New York City,2015-03-05T15:00:00,-5.4,-9.6,-8.7,77.49,0.0,,,0.56,27.09,,9.5,296.0,1021.6,100.0,3.4,,,,,Overcast,snow,"72505394728,KLGA,KNYC,72503014732",266
130,New York City,2015-03-06T10:00:00,-7.5,-10.8,-16.0,50.66,0.0,,,0.0,36.42,,6.4,22.0,1034.4,0.0,14.2,,,,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",295
131,New York City,2015-03-06T11:00:00,-6.4,-9.3,-16.5,44.74,0.0,,,0.0,36.35,,5.9,44.0,1034.2,0.0,14.8,,,,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",326
132,New York City,2015-03-06T12:00:00,-4.6,-4.6,-16.0,40.86,0.0,,,0.0,36.29,,3.3,52.0,1033.7,0.0,14.8,,,,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",362
133,New York City,2015-03-06T13:00:00,-4.7,-7.3,-17.8,35.22,0.0,,,0.0,36.23,,5.8,0.0,1033.4,0.0,16.0,,,,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",323
134,New York City,2015-03-06T14:00:00,-4.1,-7.5,-17.2,35.4,0.0,,,0.0,36.16,,8.0,308.0,1031.9,0.0,16.0,,,,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",361
135,New York City,2015-03-06T15:00:00,-3.5,-3.5,-15.8,38.01,0.0,,,0.0,36.1,,0.9,331.0,1031.2,4.4,16.0,,,,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",279
154,New York City,2015-03-07T10:00:00,-4.0,-9.1,-13.4,47.96,0.0,,,0.0,34.64,,13.9,249.0,1024.4,6.1,14.8,,,,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",373
155,New York City,2015-03-07T11:00:00,-2.2,-6.3,-12.4,45.47,0.0,,,0.0,34.44,,11.5,222.0,1023.3,10.5,14.8,,,,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",370
156,New York City,2015-03-07T12:00:00,-0.3,-5.5,-11.5,42.59,0.0,,,0.0,34.24,33.5,19.4,242.0,1022.9,14.1,16.0,,,,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",394
157,New York City,2015-03-07T13:00:00,0.7,-4.6,-11.3,40.25,0.0,,,0.0,34.05,29.5,22.0,240.0,1021.8,20.3,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",458
158,New York City,2015-03-07T14:00:00,1.7,-3.0,-10.8,39.12,0.0,,,0.0,33.85,39.2,19.2,245.0,1020.2,90.6,16.0,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",414
159,New York City,2015-03-07T15:00:00,2.1,-2.2,-9.7,41.42,0.0,,,0.0,33.65,,17.5,242.0,1019.5,100.0,14.8,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",353
177,New York City,2015-03-08T10:00:00,4.6,2.4,-4.1,53.45,0.0,,,0.0,29.93,,9.2,255.0,1017.7,85.1,14.8,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",290
178,New York City,2015-03-08T11:00:00,6.6,4.2,-3.6,48.45,0.0,,,0.0,29.64,,11.7,266.0,1017.1,40.8,14.2,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",344
179,New York City,2015-03-08T12:00:00,9.0,5.8,-3.6,41.11,0.0,,,0.0,29.35,36.9,23.0,274.0,1016.7,27.9,14.8,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",400
180,New York City,2015-03-08T13:00:00,8.7,5.7,-3.4,42.24,0.0,,,0.0,29.06,38.7,20.1,280.0,1016.9,61.2,14.8,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",389
181,New York City,2015-03-08T14:00:00,5.7,2.4,-2.1,56.99,0.0,,,0.0,28.77,43.8,16.7,317.0,1017.5,96.2,16.0,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,KNYC,72503014732",406
182,New York City,2015-03-08T15:00:00,6.7,2.9,-3.3,48.88,0.0,,,0.0,28.48,37.4,22.2,312.0,1017.4,85.7,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",380
201,New York City,2015-03-09T10:00:00,7.1,4.1,-1.8,53.07,0.0,,,0.0,23.04,38.9,17.5,254.0,1021.6,92.6,14.8,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",276
202,New York City,2015-03-09T11:00:00,8.1,5.1,-1.9,49.41,0.0,,,0.0,22.79,,18.1,280.0,1021.4,14.1,16.0,,,,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",291
203,New York City,2015-03-09T12:00:00,9.2,7.6,-2.5,43.57,0.0,,,0.0,22.54,,10.8,273.0,1021.2,10.5,16.0,,,,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",327
204,New York City,2015-03-09T13:00:00,10.6,10.6,-4.9,33.2,0.0,,,0.0,22.29,25.9,14.9,289.0,1021.2,10.5,16.0,,,,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",310
205,New York City,2015-03-09T14:00:00,11.0,11.0,-5.1,31.99,0.0,,,0.0,22.04,,14.8,288.0,1020.7,10.5,16.0,,,,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",334
206,New York City,2015-03-09T15:00:00,11.1,11.1,-4.9,32.16,0.0,,,0.0,21.79,31.7,12.4,287.0,1020.3,10.5,16.0,,,,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",358
225,New York City,2015-03-10T10:00:00,7.4,6.0,-2.2,50.58,0.0,,,0.0,19.11,,8.0,39.0,1026.1,34.2,12.9,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",324
226,New York City,2015-03-10T11:00:00,7.6,6.3,-1.9,50.81,0.0,,,0.0,18.71,,7.6,59.0,1025.8,38.4,12.9,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",338
227,New York City,2015-03-10T12:00:00,9.1,9.1,-1.5,47.28,0.0,,,0.0,18.31,,4.6,29.0,1025.6,38.4,12.9,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",346
228,New York City,2015-03-10T13:00:00,9.7,8.7,0.6,53.03,0.0,,,0.0,17.91,,8.0,37.0,1024.8,38.4,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",326
229,New York City,2015-03-10T14:00:00,10.3,10.3,1.5,54.36,0.0,,,0.0,17.51,29.5,12.2,153.0,1023.9,38.4,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",329
230,New York City,2015-03-10T15:00:00,10.9,10.9,1.9,53.81,0.0,,,0.0,17.11,,12.3,134.0,1022.7,93.1,16.0,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",340
249,New York City,2015-03-11T10:00:00,8.7,6.7,4.6,75.51,0.0,,,0.0,12.6,,12.4,289.0,1014.9,34.2,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",315
250,New York City,2015-03-11T11:00:00,9.9,7.9,4.4,68.49,0.0,,,0.0,12.36,25.9,15.0,287.0,1015.1,34.2,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",353
251,New York City,2015-03-11T12:00:00,11.0,11.0,4.3,63.51,0.0,,,0.0,12.11,35.3,18.4,292.0,1015.1,34.2,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",313
252,New York City,2015-03-11T13:00:00,11.7,11.7,4.2,60.42,0.0,,,0.0,11.87,27.7,18.7,272.0,1015.4,34.2,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",281
253,New York City,2015-03-11T14:00:00,12.6,12.6,4.2,56.73,0.0,,,0.0,11.63,30.2,16.8,273.0,1014.7,34.2,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",372
254,New York City,2015-03-11T15:00:00,13.9,13.9,4.2,52.03,0.0,,,0.0,11.39,31.7,16.9,282.0,1014.2,34.2,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",312
273,New York City,2015-03-12T10:00:00,5.2,1.1,-13.8,23.87,0.0,,,0.0,9.58,45.6,21.4,326.0,1028.9,0.0,16.0,,,,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",317
274,New York City,2015-03-12T11:00:00,5.9,2.0,-16.9,17.7,0.0,,,0.0,9.38,52.4,21.7,338.0,1029.7,10.5,16.0,,,,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",387
275,New York City,2015-03-12T12:00:00,6.8,2.9,-17.3,16.06,0.0,,,0.0,9.17,43.1,23.7,328.0,1030.2,10.5,16.0,,,,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",374
276,New York City,2015-03-12T13:00:00,7.3,3.8,-17.6,15.11,0.0,,,0.0,8.96,46.8,21.0,347.0,1030.3,4.4,16.0,,,,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",331
277,New York City,2015-03-12T14:00:00,7.9,4.3,-17.6,14.54,0.0,,,0.0,8.75,41.1,23.5,349.0,1030.2,4.4,16.0,,,,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",395
278,New York City,2015-03-12T15:00:00,7.9,4.8,-17.4,14.71,0.0,,,0.0,8.54,43.0,19.7,322.0,1030.4,0.0,16.0,,,,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",363
297,New York City,2015-03-13T10:00:00,2.5,-0.7,-16.4,23.4,0.0,,,0.0,4.83,,11.7,52.0,1038.2,34.2,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",292
298,New York City,2015-03-13T11:00:00,3.2,0.4,-17.6,20.15,0.0,,,0.0,4.75,,10.2,66.0,1037.7,34.2,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",302
299,New York City,2015-03-13T12:00:00,4.5,1.5,-16.9,19.48,0.0,,,0.0,4.67,,13.1,63.0,1036.7,34.2,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",371
300,New York City,2015-03-13T13:00:00,5.0,2.6,-15.5,21.01,0.0,,,0.0,4.58,,10.8,136.0,1035.8,34.2,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",334
301,New York City,2015-03-13T14:00:00,4.7,1.6,-13.3,25.62,0.0,,,0.0,4.5,27.7,13.9,176.0,1035.0,34.2,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",383
302,New York City,2015-03-13T15:00:00,4.8,1.6,-11.3,30.06,0.0,,,0.0,4.42,27.7,15.0,175.0,1034.3,34.2,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",335
321,New York City,2015-03-14T10:00:00,7.1,5.3,5.8,91.54,3.31,,,0.0,3.24,27.7,9.5,288.0,1019.0,100.0,3.1,,,,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",379
322,New York City,2015-03-14T11:00:00,7.4,4.6,5.9,90.69,2.22,,,0.0,3.09,29.5,15.8,169.0,1017.7,100.0,4.1,,,,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",470
323,New York City,2015-03-14T12:00:00,7.2,4.8,6.2,93.56,1.66,,,0.0,2.94,25.9,12.8,133.0,1016.2,100.0,4.7,,,,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",497
324,New York City,2015-03-14T13:00:00,7.9,5.9,6.4,90.82,1.6,,,0.0,2.8,27.7,10.7,148.0,1014.3,100.0,4.3,,,,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",434
325,New York City,2015-03-14T14:00:00,8.4,6.4,7.4,93.18,0.5,,,0.0,2.65,,12.0,125.0,1012.2,100.0,3.5,,,,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",438
326,New York City,2015-03-14T15:00:00,9.2,8.5,8.5,95.2,0.05,,,0.0,2.5,,6.2,132.0,1010.0,100.0,3.5,,,,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",296
345,New York City,2015-03-15T10:00:00,5.8,2.1,-1.7,58.42,0.0,,,0.0,0.0,40.1,20.6,288.0,1007.8,97.5,16.0,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",243
346,New York City,2015-03-15T11:00:00,5.9,1.4,-2.5,54.6,0.0,,,0.0,0.0,49.9,28.3,292.0,1008.3,97.5,16.0,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",331
347,New York City,2015-03-15T12:00:00,5.2,0.2,-2.5,57.8,0.0,,,0.0,0.0,52.7,30.6,306.0,1008.5,97.5,16.0,,,,,Overcast,wind,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",391
348,New York City,2015-03-15T13:00:00,5.8,1.7,-3.0,53.06,0.0,,,0.0,0.0,46.0,24.5,292.0,1008.4,95.7,16.0,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",386
349,New York City,2015-03-15T14:00:00,5.8,1.0,-3.6,50.89,0.0,,,0.0,0.0,53.1,31.9,305.0,1008.2,95.7,16.0,,,,,Overcast,wind,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",392
350,New York City,2015-03-15T15:00:00,5.8,1.6,-4.1,49.06,0.0,,,0.0,0.0,50.6,24.7,297.0,1008.3,98.2,16.0,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",321
369,New York City,2015-03-16T10:00:00,3.4,1.0,-4.5,56.22,0.0,,,0.0,0.0,,9.1,289.0,1016.3,35.9,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",282
370,New York City,2015-03-16T11:00:00,3.9,3.9,-4.5,54.28,0.0,,,0.0,0.0,,2.1,343.0,1015.5,52.6,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",339
371,New York City,2015-03-16T12:00:00,5.3,3.5,-4.1,50.97,0.0,,,0.0,0.0,,7.8,310.0,1015.1,55.1,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",302
372,New York City,2015-03-16T13:00:00,6.1,6.1,-4.3,47.35,0.0,,,0.0,0.0,,1.7,347.0,1014.0,38.4,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",312
373,New York City,2015-03-16T14:00:00,7.6,5.6,-5.0,40.66,0.0,,,0.0,0.0,,10.8,280.0,1013.2,37.7,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",339
374,New York City,2015-03-16T15:00:00,9.3,9.3,-3.9,38.95,0.0,,,0.0,0.0,,3.8,275.0,1012.0,37.7,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",284
393,New York City,2015-03-17T10:00:00,9.8,9.4,3.9,66.57,0.0,,,0.0,0.0,,5.4,294.0,1000.9,93.1,13.0,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",303
394,New York City,2015-03-17T11:00:00,12.3,12.3,4.8,60.07,0.0,,,0.0,0.0,41.5,14.6,292.0,1000.8,61.8,14.2,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",254
395,New York City,2015-03-17T12:00:00,13.2,13.2,5.7,60.36,0.0,,,0.0,0.0,37.8,16.8,306.0,1000.7,36.7,16.0,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",243
